model, repeats, problem, problem size, best_value, best_time, best_iteration, best_ffe
BinaryGreedyRSOptimizer, 4, CBinaryOneMaxEvaluation, 5, 5, 0, 1, 13, 
BinaryGreedyRSOptimizer, 4, CBinaryOneMaxEvaluation, 10, 10, 0, 1, 23, 
BinaryGreedyRSOptimizer, 4, CBinaryOneMaxEvaluation, 20, 20, 0.0010011, 1, 22, 
BinaryGreedyRSOptimizer, 4, CBinaryOneMaxEvaluation, 30, 30, 0, 1, 63, 
BinaryGreedyRSOptimizer, 4, CBinaryOneMaxEvaluation, 40, 40, 0, 1, 42, 
BinaryGreedyRSOptimizer, 4, CBinaryOneMaxEvaluation, 50, 50, 0, 1, 103, 
BinaryGreedyRSOptimizer, 4, CBinaryStandardDeceptiveConcatenationEvaluation, 5, 5, 0.0009989, 18, 432, 
BinaryGreedyRSOptimizer, 4, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 9, 0, 6, 270, 
BinaryGreedyRSOptimizer, 4, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 18, 0.0120023, 74, 6290, 
BinaryGreedyRSOptimizer, 4, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 27, 0.0649954, 207, 25875, 
BinaryGreedyRSOptimizer, 4, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 35, 0.001, 2, 330, 
BinaryGreedyRSOptimizer, 4, CBinaryStandardDeceptiveConcatenationEvaluation, 50, 43, 0.017009, 21, 4305, 
BinaryGreedyRSOptimizer, 4, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 4, 0, 1, 45, 
BinaryGreedyRSOptimizer, 4, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0.0029683, 16, 1360, 
BinaryGreedyRSOptimizer, 4, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 13, 0.0199883, 67, 8375, 
BinaryGreedyRSOptimizer, 4, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 17, 0.0767876, 133, 21945, 
BinaryGreedyRSOptimizer, 4, CBinaryBimodalDeceptiveConcatenationEvaluation, 50, 21, 0.0339962, 41, 8405, 
BinaryGreedyRSOptimizer, 4, CBinaryIsingSpinGlassEvaluation, 25, 1, 0.0060032, 29, 2993, 
BinaryGreedyRSOptimizer, 4, CBinaryIsingSpinGlassEvaluation, 49, 1, 0.0189941, 23, 4473, 
BinaryGreedyRSOptimizer, 4, CBinaryIsingSpinGlassEvaluation, 100, 0.976470947265625, 0.5800102, 171, 69255, 
BinaryGreedyRSOptimizer, 4, CBinaryIsingSpinGlassEvaluation, 484, 0.92718505859375, 9.9300075, 129, 250389, 
BinaryGreedyRSOptimizer, 4, CBinaryNKLandscapesEvaluation, 10, 1, 0.0020018, 24, 1058, 
BinaryGreedyRSOptimizer, 4, CBinaryNKLandscapesEvaluation, 50, 0.966445922851563, 0.0459933, 44, 9020, 
BinaryGreedyRSOptimizer, 4, CBinaryNKLandscapesEvaluation, 100, 0.92724609375, 0.1549796, 40, 16200, 
BinaryGreedyRSOptimizer, 4, CBinaryNKLandscapesEvaluation, 200, 0.899749755859375, 0.3350075, 21, 16905, 
BinaryGreedyRSOptimizer, 4, CBinaryOneMaxEvaluation, 5, 5, 0, 1, 13, 
BinaryGreedyRSOptimizer, 4, CBinaryOneMaxEvaluation, 10, 10, 0, 1, 23, 
BinaryGreedyRSOptimizer, 4, CBinaryOneMaxEvaluation, 20, 20, 0, 1, 43, 
BinaryGreedyRSOptimizer, 4, CBinaryOneMaxEvaluation, 30, 30, 0, 1, 63, 
BinaryGreedyRSOptimizer, 4, CBinaryOneMaxEvaluation, 40, 40, 0.001, 1, 83, 
BinaryGreedyRSOptimizer, 4, CBinaryOneMaxEvaluation, 50, 50, 0.0010004, 1, 103, 
BinaryGreedyRSOptimizer, 4, CBinaryStandardDeceptiveConcatenationEvaluation, 5, 5, 0, 11, 257, 
BinaryGreedyRSOptimizer, 4, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 10, 0.010999, 179, 8022, 
BinaryGreedyRSOptimizer, 4, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 18, 0, 3, 255, 
BinaryGreedyRSOptimizer, 4, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 26, 0.0019994, 5, 625, 
BinaryGreedyRSOptimizer, 4, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 35, 0.0070072, 12, 1980, 
BinaryGreedyRSOptimizer, 4, CBinaryStandardDeceptiveConcatenationEvaluation, 50, 45, 0.2140012, 235, 48175, 
BinaryGreedyRSOptimizer, 4, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0, 1, 12, 
BinaryGreedyRSOptimizer, 4, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0.0079996, 46, 3910, 
BinaryGreedyRSOptimizer, 4, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 13, 0.0009935, 3, 375, 
BinaryGreedyRSOptimizer, 4, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 17, 0.0009976, 3, 495, 
BinaryGreedyRSOptimizer, 4, CBinaryBimodalDeceptiveConcatenationEvaluation, 50, 21, 0.0019907, 2, 410, 
BinaryGreedyRSOptimizer, 4, CBinaryIsingSpinGlassEvaluation, 25, 1, 0.0019948, 9, 867, 
BinaryGreedyRSOptimizer, 4, CBinaryIsingSpinGlassEvaluation, 49, 0.975906372070313, 0.0130065, 14, 2814, 
BinaryGreedyRSOptimizer, 4, CBinaryIsingSpinGlassEvaluation, 100, 0.964706420898438, 0.9910021, 245, 99225, 
BinaryGreedyRSOptimizer, 4, CBinaryIsingSpinGlassEvaluation, 484, 0.92718505859375, 20.7219959, 246, 477486, 
BinaryGreedyRSOptimizer, 4, CBinaryNKLandscapesEvaluation, 10, 1, 0.0030059, 51, 2262, 
BinaryGreedyRSOptimizer, 4, CBinaryNKLandscapesEvaluation, 50, 0.973739624023438, 0.0169944, 16, 3280, 
BinaryGreedyRSOptimizer, 4, CBinaryNKLandscapesEvaluation, 100, 0.933807373046875, 0.5609934, 145, 58725, 
BinaryGreedyRSOptimizer, 4, CBinaryNKLandscapesEvaluation, 200, 0.904403686523438, 2.7430031, 179, 144095, 
BinaryGreedyRSOptimizer, 4, CBinaryOneMaxEvaluation, 5, 5, 0, 1, 7, 
BinaryGreedyRSOptimizer, 4, CBinaryOneMaxEvaluation, 10, 10, 0, 1, 23, 
BinaryGreedyRSOptimizer, 4, CBinaryOneMaxEvaluation, 20, 20, 0, 1, 43, 
BinaryGreedyRSOptimizer, 4, CBinaryOneMaxEvaluation, 30, 30, 0.000995, 1, 63, 
BinaryGreedyRSOptimizer, 4, CBinaryOneMaxEvaluation, 40, 40, 0, 1, 42, 
BinaryGreedyRSOptimizer, 4, CBinaryOneMaxEvaluation, 50, 50, 0, 1, 103, 
BinaryGreedyRSOptimizer, 4, CBinaryStandardDeceptiveConcatenationEvaluation, 5, 5, 0, 1, 7, 
BinaryGreedyRSOptimizer, 4, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 10, 0, 7, 282, 
BinaryGreedyRSOptimizer, 4, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 18, 0.0070015, 43, 3655, 
BinaryGreedyRSOptimizer, 4, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 27, 0.0429864, 138, 17250, 
BinaryGreedyRSOptimizer, 4, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 35, 0.0119882, 22, 3630, 
BinaryGreedyRSOptimizer, 4, CBinaryStandardDeceptiveConcatenationEvaluation, 50, 43, 0.0069952, 9, 1845, 
BinaryGreedyRSOptimizer, 4, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 4, 0, 1, 45, 
BinaryGreedyRSOptimizer, 4, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0.0180145, 109, 9265, 
BinaryGreedyRSOptimizer, 4, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 13, 0.0460174, 146, 18250, 
BinaryGreedyRSOptimizer, 4, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 16, 0, 1, 165, 
BinaryGreedyRSOptimizer, 4, CBinaryBimodalDeceptiveConcatenationEvaluation, 50, 21, 0.0360004, 44, 9020, 
BinaryGreedyRSOptimizer, 4, CBinaryIsingSpinGlassEvaluation, 25, 1, 0.0029982, 12, 1208, 
BinaryGreedyRSOptimizer, 4, CBinaryIsingSpinGlassEvaluation, 49, 1, 0.007999, 11, 2061, 
BinaryGreedyRSOptimizer, 4, CBinaryIsingSpinGlassEvaluation, 100, 0.976470947265625, 0.0710005, 21, 8505, 
BinaryGreedyRSOptimizer, 4, CBinaryIsingSpinGlassEvaluation, 484, 0.919906616210938, 16.8929944, 216, 419256, 
BinaryGreedyRSOptimizer, 4, CBinaryNKLandscapesEvaluation, 10, 1, 0.008009, 143, 6402, 
BinaryGreedyRSOptimizer, 4, CBinaryNKLandscapesEvaluation, 50, 0.948013305664063, 0.0929998, 96, 19680, 
BinaryGreedyRSOptimizer, 4, CBinaryNKLandscapesEvaluation, 100, 0.932449340820313, 0.3050046, 79, 31995, 
BinaryGreedyRSOptimizer, 4, CBinaryNKLandscapesEvaluation, 200, 0.904678344726563, 2.0019975, 133, 107065, 
BinaryGreedyRSOptimizer, 4, CBinaryOneMaxEvaluation, 5, 5, 0, 1, 13, 
BinaryGreedyRSOptimizer, 4, CBinaryOneMaxEvaluation, 10, 10, 0, 1, 23, 
BinaryGreedyRSOptimizer, 4, CBinaryOneMaxEvaluation, 20, 20, 0, 1, 22, 
BinaryGreedyRSOptimizer, 4, CBinaryOneMaxEvaluation, 30, 30, 0, 1, 32, 
BinaryGreedyRSOptimizer, 4, CBinaryOneMaxEvaluation, 40, 40, 0, 1, 42, 
