model, repeats, significance_epsilon, problem, problem size, best_value, best_time, best_iteration, best_ffe
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 5, 5, 0, 1, 7, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 10, 10, 0, 1, 12, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 20, 20, 0, 2, 44, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 30, 30, 0, 1, 32, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 40, 40, 0, 2, 84, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 50, 50, 0.0009985, 4, 208, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 5, 5, 0.0009971, 34, 238, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 9, 0, 56, 672, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 17, 0, 1, 22, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 26, 0, 1, 32, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 34, 0, 2, 84, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 50, 42, 0.0099984, 42, 2184, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0, 16, 192, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 8, 0, 1, 22, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 12, 0.0009999, 1, 32, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 17, 0.0069996, 51, 2142, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 50, 21, 0.0090004, 41, 2132, 
