GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 3, 3, 0.0089993, 0, 50, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 6, 6, 0, 0, 50, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 12, 12, 0.0120201, 21, 765, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 18, 18, 0.0299993, 112, 3813, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 24, 24, 0.2438542, 661, 22609, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 30, 0.1609124, 377, 12897, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 5, 5, 0, 0, 50, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 10, 0.0039989, 23, 819, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 18, 0.2392492, 717, 24607, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 27, 0.0987501, 211, 7213, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 35, 0.3878314, 541, 18499, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 50, 43, 0.2789478, 316, 10878, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 9, 0.0020009, 5, 219, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 18, 0.005, 17, 632, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 35, 0.0967837, 153, 5305, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 60, 53, 0.37726, 309, 10561, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 80, 71, 1.8499307, 952, 32334, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 100, 88, 0.3377923, 105, 3602, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 19, 0.0050058, 17, 632, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 38, 0.311922, 506, 17362, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 80, 74, 0.1939603, 98, 3364, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 120, 111, 1.2556912, 303, 10327, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 160, 149, 1.6940222, 224, 7598, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 200, 184, 6.4880326, 558, 18895, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 5, 2.5, 0, 0, 50, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0.0009991, 5, 219, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 15, 7.5, 0.0029991, 11, 436, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 10, 0.021236, 75, 2559, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 25, 12.5, 0.0312303, 85, 2851, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0.0029964, 17, 626, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 8, 0, 0, 50, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 12, 0, 0, 50, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 16, 0.0009824, 1, 82, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 50, 20, 0.0080232, 6, 245, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 15, 6, 0, 0, 50, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 12, 0, 0, 50, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 45, 18, 0.0010002, 0, 50, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 60, 24, 0, 0, 50, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 75, 30, 0.0130703, 5, 215, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0, 0, 50, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 18, 0.0009979, 0, 50, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 60, 27, 0.0009996, 0, 50, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 80, 36, 0.0110006, 4, 182, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 100, 45, 0.0578075, 10, 372, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 3, 3, 0, 0, 100, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 6, 6, 4.81E-05, 1, 139, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 12, 12, 0.0019612, 9, 1127, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 18, 18, 0.0106256, 41, 5264, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 24, 24, 0.012, 39, 23956, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 30, 0.0615629, 146, 17932, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 5, 5, 0, 0, 100, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 10, 0, 1, 903, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 19, 0.1674604, 546, 52893, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 25, 0.0641971, 160, 39587, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 36, 0.5981202, 902, 64692, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 50, 46, 0.2209226, 239, 42046, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 9, 0.0010648, 0, 34780, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 18, 0.0070015, 25, 35163, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 36, 0.1567809, 241, 42322, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 60, 53, 0.678722, 537, 52161, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 80, 70, 0.4787, 215, 41209, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 100, 88, 0.8446684, 285, 43455, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 19, 0.0059289, 26, 35198, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 38, 0.102993, 158, 39527, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 80, 74, 1.0131518, 504, 50882, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 120, 112, 3.7107838, 828, 61737, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 160, 147, 1.9469087, 250, 42188, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 200, 187, 7.5811465, 602, 53999, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 5, 2.5, 0, 0, 100, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0, 0, 269, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 15, 7.5, 0.001955, 4, 625, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 10, 0.0130426, 51, 4314, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 25, 12.5, 0.0899998, 260, 11731, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0, 0, 676, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0.002, 3, 34397, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 12, 0, 0, 34136, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 17, 0.0089218, 13, 34578, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 50, 21, 0.0220327, 21, 34666, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 15, 6, 0, 0, 34561, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 12, 0.0009997, 0, 34136, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 45, 18, 0, 0, 34103, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 60, 24, 0.0010325, 0, 34022, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 75, 30, 0.0009418, 1, 33984, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0, 0, 34293, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 18, 0, 0, 34157, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 60, 27, 0, 0, 34022, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 80, 36, 0.0099964, 3, 34072, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 100, 45, 0.0580237, 18, 34465, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 3, 3, 0, 0, 150, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 6, 6, 0.0009923, 2, 259, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 12, 12, 0.0039977, 20, 1855, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 18, 18, 0.0350031, 155, 10642, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 24, 24, 0.0099999, 31, 25014, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 29, 0.3359999, 761, 43876, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 5, 5, 0, 0, 150, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 9, 0.0640717, 502, 18269, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 19, 0.0579999, 234, 76422, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 26, 0.2969572, 725, 92809, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 36, 0.6310005, 991, 101680, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 50, 44, 0.8440906, 1000, 101675, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 9, 0.0009972, 8, 69589, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 18, 0.0079993, 36, 69733, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 36, 0.5630002, 912, 99048, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 60, 53, 0.122, 88, 70745, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 80, 71, 1.2490216, 640, 89289, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 100, 88, 1.9080407, 633, 89000, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 19, 0.0089995, 36, 69733, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 38, 0.2930043, 462, 83733, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 80, 75, 1.4070117, 719, 91969, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 120, 113, 2.161003, 516, 84947, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 160, 147, 1.820927, 239, 75662, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 200, 183, 2.8879206, 252, 75940, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 5, 2.5, 0, 0, 150, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0.0009972, 3, 419, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 15, 7.5, 0.0030254, 14, 1141, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 10, 0.0319773, 131, 8788, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 25, 12.5, 0.0180204, 52, 13528, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0.0369788, 253, 9449, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0.0080008, 29, 69503, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 12, 0, 1, 68181, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 16, 0, 1, 68091, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 50, 20, 0.0060001, 5, 67914, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 15, 6, 0.0010005, 0, 68869, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 12, 0, 0, 68147, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 45, 18, 0.0009938, 0, 67923, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 60, 24, 0, 0, 67785, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 75, 30, 0, 0, 67660, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0, 0, 68534, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 18, 0.0010001, 0, 68059, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 60, 27, 0.0009975, 0, 67785, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 80, 36, 0.0080006, 2, 67773, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 100, 45, 0.0369995, 11, 68065, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 3, 3, 0, 0, 200, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 6, 6, 0.0009822, 0, 309, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 12, 12, 0.0010012, 3, 2007, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 18, 18, 0.0049998, 14, 11153, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 24, 24, 0.0589987, 189, 31454, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 29, 0.0190024, 45, 53562, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 5, 5, 0, 0, 200, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 10, 0.0020009, 11, 35974, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 19, 0.0119996, 45, 104207, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 26, 0.3519663, 865, 131564, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 35, 0.3079996, 494, 118750, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 50, 43, 0.8350244, 937, 133339, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 9, 0.0009873, 5, 104123, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 18, 0.0050341, 19, 103327, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 36, 0.3219993, 508, 119227, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 60, 53, 0.5150005, 416, 115666, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 80, 70, 0.5459758, 270, 110636, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 100, 88, 1.1500012, 390, 114633, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 19, 0.0040008, 19, 103327, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 38, 0.134991, 225, 109577, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 80, 75, 0.6339875, 331, 112727, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 120, 111, 2.0458979, 490, 117972, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 160, 148, 4.0859673, 540, 119746, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 200, 184, 9.0424936, 784, 127511, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 5, 2.5, 0, 0, 200, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0.0009983, 4, 596, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 15, 7.5, 0.0050006, 22, 1933, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 10, 0.0240029, 89, 11853, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 25, 12.5, 0.0270081, 76, 16168, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0.1279917, 982, 43351, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 8, 0, 0, 102697, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 12, 0.0010004, 0, 102202, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 17, 0.0049973, 6, 102230, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 50, 21, 0.5789952, 627, 122779, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 15, 6, 0.0010011, 0, 103164, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 12, 0.0009999, 0, 102202, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 45, 18, 0, 0, 101967, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 60, 24, 0, 0, 101622, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 75, 30, 0.0009996, 1, 101494, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0.0009996, 0, 102697, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 18, 0.0010327, 0, 102030, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 60, 27, 0.0119887, 9, 101912, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 80, 36, 0.0150001, 6, 101742, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 100, 45, 0.0359483, 10, 101833, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 3, 3, 0, 0, 250, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 6, 6, 0, 0, 359, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 12, 12, 0.0019291, 13, 2508, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 18, 18, 0.0199908, 91, 14314, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 24, 24, 0.1589939, 526, 49330, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 29, 0.1119989, 254, 94591, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 5, 5, 0, 0, 250, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 10, 0.0010008, 12, 36419, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 19, 0.0620003, 291, 146729, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 28, 0.1280002, 305, 146467, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 35, 0.3880019, 605, 156281, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 50, 44, 0.3620002, 402, 149008, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 9, 0.0019153, 9, 138796, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 18, 0.0040003, 15, 137297, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 36, 0.257016, 396, 149258, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 60, 53, 0.065969, 64, 137534, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 80, 70, 0.4340037, 221, 142835, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 100, 88, 1.1432946, 381, 148133, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 19, 0.004001, 15, 137297, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 38, 0.1189978, 205, 142743, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 80, 74, 1.255996, 648, 157265, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 120, 112, 1.0129301, 248, 143449, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 160, 148, 4.8381494, 640, 156833, 
GAWithDSM, DSMCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 200, 184, 1.7359706, 151, 139999, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 5, 2.5, 0, 0, 250, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0.0020164, 6, 843, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 15, 7.5, 0.0019968, 7, 2213, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 10, 0.0049748, 17, 12471, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 25, 12.5, 0.0250463, 68, 18551, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0.0419582, 314, 54258, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0.163997, 621, 157931, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 12, 0.0009793, 2, 136203, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 16, 0.0039975, 3, 135979, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 50, 20, 0.0069968, 6, 135675, 
GAWithDSM, DSMCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 15, 6, 0, 0, 137278, 
