DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 3, 3, 0.0090022, 0, 50, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 6, 6, 0, 0, 50, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 12, 12, 0.0149998, 10, 592, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 18, 18, 0.0070002, 17, 960, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 24, 24, 0.0679997, 141, 8006, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 30, 0.1079992, 168, 9687, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 5, 5, 0, 0, 50, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 10, 0.024964, 131, 7498, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 20, 0.1500167, 439, 25196, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 29, 0.057785, 104, 5880, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 37, 0.8670261, 859, 48871, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 50, 46, 0.0941595, 83, 4796, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 9, 0.0020025, 7, 390, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 18, 0.0040017, 14, 819, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 36, 0.0330201, 37, 2101, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 60, 54, 0.0739941, 47, 2706, 
